epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,512.537,0.49159,0.89062,1,0.20355,0.000235264,0.000235264,0.000235264
2,999.888,0.22374,0.94792,1,0.12531,0.00043422,0.00043422,0.00043422
3,2215.89,0.18043,0.92708,1,0.15809,0.000593906,0.000593906,0.000593906
4,2787.91,0.15367,0.98438,1,0.05437,0.000537285,0.000537285,0.000537285
5,3337.37,0.09405,0.97396,1,0.05914,0.00047838,0.00047838,0.00047838
6,3840.21,0.11046,0.97917,1,0.05587,0.000419475,0.000419475,0.000419475
7,4343.4,0.12569,0.98438,1,0.03838,0.00036057,0.00036057,0.00036057
8,4924.04,0.06384,0.98438,1,0.0462,0.000301665,0.000301665,0.000301665
9,5457.88,0.06786,0.98438,1,0.03551,0.00024276,0.00024276,0.00024276
10,6109.87,0.05026,0.98438,1,0.02563,0.000183855,0.000183855,0.000183855
11,6666.03,0.05081,0.98438,1,0.02724,0.00012495,0.00012495,0.00012495
12,7162.27,0.04487,0.98958,1,0.02381,6.6045e-05,6.6045e-05,6.6045e-05
