epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,727.129,2.26562,4.20325,1.64371,0.00181,0.16782,0.09171,0.04503,1.81107,4.44944,1.44746,0.00020006,0.00020006,0.00020006
2,1184.98,1.50491,3.08177,1.19173,0.00352,0.43963,0.21634,0.10754,1.6379,3.96653,1.17769,0.000397999,0.000397999,0.000397999
3,1845.05,1.47446,2.49035,1.11874,0.74588,0.00758,0.19512,0.11203,1.65227,3.86375,1.23131,0.000578962,0.000578962,0.000578962
4,2314.48,1.39185,2.06085,1.09475,0.77462,0.02273,0.26956,0.16024,1.53918,3.61933,1.17693,0.000742949,0.000742949,0.000742949
5,2838.99,1.33747,1.82179,1.09369,0.68014,0.07652,0.31644,0.18438,1.47353,3.2427,1.14876,0.000889958,0.000889958,0.000889958
6,3318.39,1.34626,1.76485,1.12458,0.61718,0.33821,0.4582,0.25972,1.55839,2.81057,1.1463,0.00101999,0.00101999,0.00101999
7,3797.84,1.34229,1.65694,1.09823,0.74985,0.43244,0.54678,0.28519,1.55296,2.65864,1.1491,0.00108947,0.00108947,0.00108947
8,4392.47,1.32032,1.59431,1.08863,0.48833,0.55825,0.57294,0.33247,1.43871,2.19107,1.13275,0.00103288,0.00103288,0.00103288
9,5049.9,1.25068,1.40047,1.0644,0.59139,0.64032,0.68548,0.41154,1.40364,1.92919,1.08853,0.000976293,0.000976293,0.000976293
10,5542.29,1.19966,1.36091,1.05551,0.57664,0.68848,0.69318,0.4213,1.32425,1.86378,1.08331,0.000919704,0.000919704,0.000919704
11,6099.83,1.17647,1.26567,1.03962,0.72109,0.72447,0.77708,0.51269,1.26749,1.90924,1.06858,0.000863116,0.000863116,0.000863116
12,6747.32,1.20548,1.27567,1.06287,0.74445,0.79678,0.78177,0.47276,1.36193,1.7167,1.10073,0.000806528,0.000806528,0.000806528
13,7306.61,1.17082,1.23273,1.04077,0.70433,0.81023,0.79935,0.49373,1.31192,1.6284,1.10853,0.000749939,0.000749939,0.000749939
14,9104.63,1.16584,1.2298,1.03955,0.80293,0.74967,0.78297,0.49996,1.27207,1.43051,1.05357,0.000693351,0.000693351,0.000693351
15,13767,1.12892,1.18981,1.01449,0.78194,0.76601,0.8058,0.52152,1.23283,1.36636,1.05354,0.000636762,0.000636762,0.000636762
16,14357.6,1.08422,1.37573,1.00982,0.77118,0.79499,0.80392,0.5555,1.21108,1.38687,1.02174,0.000580174,0.000580174,0.000580174
17,14945.1,1.04287,1.25668,1.01447,0.7861,0.84318,0.8125,0.53871,1.21196,1.29098,1.03872,0.000523586,0.000523586,0.000523586
18,15562.5,1.0559,1.21999,1.02641,0.77862,0.86161,0.79907,0.53915,1.19844,1.29044,1.028,0.000466997,0.000466997,0.000466997
19,16099.6,1.04588,1.22717,1.01822,0.82467,0.80821,0.79954,0.54479,1.17829,1.25554,1.01565,0.000410409,0.000410409,0.000410409
20,16657.9,1.00728,1.13467,0.99432,0.83463,0.85407,0.80585,0.55813,1.13899,1.21158,0.99238,0.00035382,0.00035382,0.00035382
21,17180.3,0.9836,1.10917,0.98836,0.81513,0.84859,0.82336,0.55486,1.14674,1.19577,0.98741,0.000297232,0.000297232,0.000297232
22,17900.6,1.0002,1.13104,1.00469,0.84336,0.85742,0.82756,0.57308,1.10304,1.21493,0.98333,0.000240644,0.000240644,0.000240644
23,18445.2,0.971,1.06807,0.95858,0.84516,0.85558,0.835,0.58322,1.09903,1.17274,0.97241,0.000184055,0.000184055,0.000184055
24,18908.5,0.95212,1.04561,0.95438,0.86676,0.84204,0.838,0.58709,1.09628,1.15692,0.9724,0.000127467,0.000127467,0.000127467
25,19407.1,0.93666,1.02898,0.96927,0.86111,0.84271,0.83222,0.59317,1.08543,1.1375,0.97172,7.08784e-05,7.08784e-05,7.08784e-05
